epiweek,WeekStart,WeekMid,WeekEnd,Year,Week,train_1,target_1,train_2,target_2,train_3,target_3
201139,25/09/2011,29/09/2011,01/10/2011,2011,39,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201140,02/10/2011,06/10/2011,08/10/2011,2011,40,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201141,09/10/2011,13/10/2011,15/10/2011,2011,41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201142,16/10/2011,20/10/2011,22/10/2011,2011,42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201143,23/10/2011,27/10/2011,29/10/2011,2011,43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201144,30/10/2011,03/11/2011,05/11/2011,2011,44,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201145,06/11/2011,10/11/2011,12/11/2011,2011,45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201146,13/11/2011,17/11/2011,19/11/2011,2011,46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201147,20/11/2011,24/11/2011,26/11/2011,2011,47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201148,27/11/2011,01/12/2011,03/12/2011,2011,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201149,04/12/2011,08/12/2011,10/12/2011,2011,49,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201150,11/12/2011,15/12/2011,17/12/2011,2011,50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201151,18/12/2011,22/12/2011,24/12/2011,2011,51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201152,25/12/2011,29/12/2011,31/12/2011,2011,52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201201,01/01/2012,05/01/2012,07/01/2012,2012,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201202,08/01/2012,12/01/2012,14/01/2012,2012,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201203,15/01/2012,19/01/2012,21/01/2012,2012,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201204,22/01/2012,26/01/2012,28/01/2012,2012,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201205,29/01/2012,02/02/2012,04/02/2012,2012,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201206,05/02/2012,09/02/2012,11/02/2012,2012,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201207,12/02/2012,16/02/2012,18/02/2012,2012,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201208,19/02/2012,23/02/2012,25/02/2012,2012,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201209,26/02/2012,01/03/2012,03/03/2012,2012,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201210,04/03/2012,08/03/2012,10/03/2012,2012,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201211,11/03/2012,15/03/2012,17/03/2012,2012,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201212,18/03/2012,22/03/2012,24/03/2012,2012,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201213,25/03/2012,29/03/2012,31/03/2012,2012,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201214,01/04/2012,05/04/2012,07/04/2012,2012,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201215,08/04/2012,12/04/2012,14/04/2012,2012,15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201216,15/04/2012,19/04/2012,21/04/2012,2012,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201217,22/04/2012,26/04/2012,28/04/2012,2012,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201218,29/04/2012,03/05/2012,05/05/2012,2012,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201219,06/05/2012,10/05/2012,12/05/2012,2012,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201220,13/05/2012,17/05/2012,19/05/2012,2012,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201221,20/05/2012,24/05/2012,26/05/2012,2012,21,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201222,27/05/2012,31/05/2012,02/06/2012,2012,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201223,03/06/2012,07/06/2012,09/06/2012,2012,23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201224,10/06/2012,14/06/2012,16/06/2012,2012,24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201225,17/06/2012,21/06/2012,23/06/2012,2012,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201226,24/06/2012,28/06/2012,30/06/2012,2012,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201227,01/07/2012,05/07/2012,07/07/2012,2012,27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201228,08/07/2012,12/07/2012,14/07/2012,2012,28,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201229,15/07/2012,19/07/2012,21/07/2012,2012,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201230,22/07/2012,26/07/2012,28/07/2012,2012,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201231,29/07/2012,02/08/2012,04/08/2012,2012,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201232,05/08/2012,09/08/2012,11/08/2012,2012,32,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201233,12/08/2012,16/08/2012,18/08/2012,2012,33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201234,19/08/2012,23/08/2012,25/08/2012,2012,34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201235,26/08/2012,30/08/2012,01/09/2012,2012,35,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201236,02/09/2012,06/09/2012,08/09/2012,2012,36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201237,09/09/2012,13/09/2012,15/09/2012,2012,37,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201238,16/09/2012,20/09/2012,22/09/2012,2012,38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201239,23/09/2012,27/09/2012,29/09/2012,2012,39,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201240,30/09/2012,04/10/2012,06/10/2012,2012,40,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201241,07/10/2012,11/10/2012,13/10/2012,2012,41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201242,14/10/2012,18/10/2012,20/10/2012,2012,42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201243,21/10/2012,25/10/2012,27/10/2012,2012,43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201244,28/10/2012,01/11/2012,03/11/2012,2012,44,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201245,04/11/2012,08/11/2012,10/11/2012,2012,45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201246,11/11/2012,15/11/2012,17/11/2012,2012,46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201247,18/11/2012,22/11/2012,24/11/2012,2012,47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201248,25/11/2012,29/11/2012,01/12/2012,2012,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201249,02/12/2012,06/12/2012,08/12/2012,2012,49,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201250,09/12/2012,13/12/2012,15/12/2012,2012,50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201251,16/12/2012,20/12/2012,22/12/2012,2012,51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201252,23/12/2012,27/12/2012,29/12/2012,2012,52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201301,30/12/2012,03/01/2013,05/01/2013,2013,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201302,06/01/2013,10/01/2013,12/01/2013,2013,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201303,13/01/2013,17/01/2013,19/01/2013,2013,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201304,20/01/2013,24/01/2013,26/01/2013,2013,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201305,27/01/2013,31/01/2013,02/02/2013,2013,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201306,03/02/2013,07/02/2013,09/02/2013,2013,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201307,10/02/2013,14/02/2013,16/02/2013,2013,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201308,17/02/2013,21/02/2013,23/02/2013,2013,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201309,24/02/2013,28/02/2013,02/03/2013,2013,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201310,03/03/2013,07/03/2013,09/03/2013,2013,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201311,10/03/2013,14/03/2013,16/03/2013,2013,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201312,17/03/2013,21/03/2013,23/03/2013,2013,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201313,24/03/2013,28/03/2013,30/03/2013,2013,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201314,31/03/2013,04/04/2013,06/04/2013,2013,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201315,07/04/2013,11/04/2013,13/04/2013,2013,15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201316,14/04/2013,18/04/2013,20/04/2013,2013,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201317,21/04/2013,25/04/2013,27/04/2013,2013,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201318,28/04/2013,02/05/2013,04/05/2013,2013,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201319,05/05/2013,09/05/2013,11/05/2013,2013,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201320,12/05/2013,16/05/2013,18/05/2013,2013,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201321,19/05/2013,23/05/2013,25/05/2013,2013,21,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201322,26/05/2013,30/05/2013,01/06/2013,2013,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201323,02/06/2013,06/06/2013,08/06/2013,2013,23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201324,09/06/2013,13/06/2013,15/06/2013,2013,24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201325,16/06/2013,20/06/2013,22/06/2013,2013,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201326,23/06/2013,27/06/2013,29/06/2013,2013,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201327,30/06/2013,04/07/2013,06/07/2013,2013,27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201328,07/07/2013,11/07/2013,13/07/2013,2013,28,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201329,14/07/2013,18/07/2013,20/07/2013,2013,29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201330,21/07/2013,25/07/2013,27/07/2013,2013,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201331,28/07/2013,01/08/2013,03/08/2013,2013,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201332,04/08/2013,08/08/2013,10/08/2013,2013,32,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201333,11/08/2013,15/08/2013,17/08/2013,2013,33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201334,18/08/2013,22/08/2013,24/08/2013,2013,34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201335,25/08/2013,29/08/2013,31/08/2013,2013,35,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201336,01/09/2013,05/09/2013,07/09/2013,2013,36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201337,08/09/2013,12/09/2013,14/09/2013,2013,37,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201338,15/09/2013,19/09/2013,21/09/2013,2013,38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201339,22/09/2013,26/09/2013,28/09/2013,2013,39,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201340,29/09/2013,03/10/2013,05/10/2013,2013,40,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201341,06/10/2013,10/10/2013,12/10/2013,2013,41,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201342,13/10/2013,17/10/2013,19/10/2013,2013,42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201343,20/10/2013,24/10/2013,26/10/2013,2013,43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201344,27/10/2013,31/10/2013,02/11/2013,2013,44,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201345,03/11/2013,07/11/2013,09/11/2013,2013,45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201346,10/11/2013,14/11/2013,16/11/2013,2013,46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201347,17/11/2013,21/11/2013,23/11/2013,2013,47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201348,24/11/2013,28/11/2013,30/11/2013,2013,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201349,01/12/2013,05/12/2013,07/12/2013,2013,49,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201350,08/12/2013,12/12/2013,14/12/2013,2013,50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201351,15/12/2013,19/12/2013,21/12/2013,2013,51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201352,22/12/2013,26/12/2013,28/12/2013,2013,52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201401,29/12/2013,02/01/2014,04/01/2014,2014,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201402,05/01/2014,09/01/2014,11/01/2014,2014,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201403,12/01/2014,16/01/2014,18/01/2014,2014,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201404,19/01/2014,23/01/2014,25/01/2014,2014,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201405,26/01/2014,30/01/2014,01/02/2014,2014,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201406,02/02/2014,06/02/2014,08/02/2014,2014,6,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201407,09/02/2014,13/02/2014,15/02/2014,2014,7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201408,16/02/2014,20/02/2014,22/02/2014,2014,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201409,23/02/2014,27/02/2014,01/03/2014,2014,9,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201410,02/03/2014,06/03/2014,08/03/2014,2014,10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201411,09/03/2014,13/03/2014,15/03/2014,2014,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201412,16/03/2014,20/03/2014,22/03/2014,2014,12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201413,23/03/2014,27/03/2014,29/03/2014,2014,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201414,30/03/2014,03/04/2014,05/04/2014,2014,14,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201415,06/04/2014,10/04/2014,12/04/2014,2014,15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201416,13/04/2014,17/04/2014,19/04/2014,2014,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201417,20/04/2014,24/04/2014,26/04/2014,2014,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201418,27/04/2014,01/05/2014,03/05/2014,2014,18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201419,04/05/2014,08/05/2014,10/05/2014,2014,19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201420,11/05/2014,15/05/2014,17/05/2014,2014,20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201421,18/05/2014,22/05/2014,24/05/2014,2014,21,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201422,25/05/2014,29/05/2014,31/05/2014,2014,22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201423,01/06/2014,05/06/2014,07/06/2014,2014,23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201424,08/06/2014,12/06/2014,14/06/2014,2014,24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201425,15/06/2014,19/06/2014,21/06/2014,2014,25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
201426,22/06/2014,26/06/2014,28/06/2014,2014,26,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
